username	password	first_name	last_name	role
owner	owner	O	Owner	acq_spec,sales_agent,op_man	
user01	pass01	Kattie	Toyama	op_man	
user02	pass02	Angella	Royster	acq_spec	
user03	pass03	Roselle	Drymon	sales_agent	
user04	pass04	Karan	Scipione	acq_spec	
user05	pass05	Daniela	Hellickson	acq_spec	
user06	pass06	Chanel	Tomasulo	sales_agent	
user07	pass07	Vincenza	Neither	sales_agent	
user08	pass08	Dalene	Stockham	acq_spec	
user09	pass09	Benedict	Karpin	op_man	
user10	pass10	Devorah	Gillian	acq_spec	
user11	pass11	Gearldine	Vanausdal	sales_agent	
user12	pass12	Cyril	Fern	acq_spec	
user13	pass13	Cheryl	Papasergi	acq_spec	
user14	pass14	Helaine	Grenet	sales_agent	
user15	pass15	Fabiola	Chickering	sales_agent	
user16	pass16	Fernanda	Paprocki	acq_spec	
user17	pass17	Cristy	Marrier	op_man	
user18	pass18	Lisha	Turinetti	acq_spec	
user19	pass19	Wilda	Tromblay	acq_spec	
user20	pass20	Krissy	Harnos	sales_agent	
user21	pass21	Simona	Angalich	sales_agent	
user22	pass22	Nieves	Klang	acq_spec	
user23	pass23	Colette	Bevelacqua	acq_spec	
user24	pass24	Mona	Keneipp	sales_agent	
user25	pass25	Wynell	Buzick	acq_spec	
